repository,branch,loc,error,elapsed_seconds,file_count
ansible__ansible,instance_ansible__ansible-3db08adbb1cc6aa9941be5e0fc810132c6e1fa4b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,495324,,1.09,4721
ansible__ansible,instance_ansible__ansible-83909bfa22573777e3db5688773bda59721962ad-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,482570,,1.32,4766
ansible__ansible,instance_ansible__ansible-cb94c0cc550df9e98f1247bc71d8c2b861c75049-v1055803c3a812189a1133297f7f5468579283f86,483206,,0.49,4807
ansible__ansible,instance_ansible__ansible-de5858f48dc9e1ce9117034e0d7e76806f420ca8-v1055803c3a812189a1133297f7f5468579283f86,469395,,0.56,4732
ansible__ansible,instance_ansible__ansible-f8ef34672b961a95ec7282643679492862c688ec-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,470652,,0.83,4761
ansible__ansible,instance_ansible__ansible-be2c376ab87e3e872ca21697508f12c6909cf85a-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,471978,,0.8,4798
ansible__ansible,instance_ansible__ansible-1b70260d5aa2f6c9782fd2b848e8d16566e50d85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,471962,,1.01,4803
ansible__ansible,instance_ansible__ansible-83fb24b923064d3576d473747ebbe62e4535c9e3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,472190,,0.58,4819
ansible__ansible,instance_ansible__ansible-be59caa59bf47ca78a4760eb7ff38568372a8260-v1055803c3a812189a1133297f7f5468579283f86,473240,,0.33,4882
ansible__ansible,instance_ansible__ansible-9759e0ca494de1fd5fc2df2c5d11c57adbe6007c-v1055803c3a812189a1133297f7f5468579283f86,476918,,1.0,4989
ansible__ansible,instance_ansible__ansible-4c5ce5a1a9e79a845aff4978cfeb72a0d4ecf7d6-v1055803c3a812189a1133297f7f5468579283f86,812,,2.39,5023
ansible__ansible,instance_ansible__ansible-f327e65d11bb905ed9f15996024f857a95592629-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,3396,,1.73,5052
ansible__ansible,instance_ansible__ansible-935528e22e5283ee3f63a8772830d3d01f55ed8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,13921,,0.65,5137
ansible__ansible,instance_ansible__ansible-39bd8b99ec8c6624207bf3556ac7f9626dad9173-v1055803c3a812189a1133297f7f5468579283f86,458065,,0.66,4797
ansible__ansible,instance_ansible__ansible-29aea9ff3466e4cd2ed00524b9e56738d568ce8b-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,458518,,0.8,4825
ansible__ansible,instance_ansible__ansible-185d41031660a676c43fbb781cd1335902024bfe-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,459505,,1.99,4862
ansible__ansible,instance_ansible__ansible-1bd7dcf339dd8b6c50bc16670be2448a206f4fdb-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,542,,0.61,5014
ansible__ansible,instance_ansible__ansible-502270c804c33d3bc963930dc85e0f4ca359674d-v7eee2454f617569fd6889f2211f75bc02a35f9f8,1234,,0.51,5027
ansible__ansible,instance_ansible__ansible-5640093f1ca63fd6af231cc8a7fb7d40e1907b8c-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,1972,,1.38,5031
ansible__ansible,instance_ansible__ansible-9a21e247786ebd294dafafca1105fcd770ff46c6-v67cdaa49f89b34e42b69d5b7830b3c3ad3d8803f,4841,,0.75,5072
ansible__ansible,instance_ansible__ansible-cd473dfb2fdbc97acf3293c134b21cbbcfa89ec3-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,9592,,0.59,5107
ansible__ansible,instance_ansible__ansible-415e08c2970757472314e515cb63a51ad825c45e-v7eee2454f617569fd6889f2211f75bc02a35f9f8,15259,,1.06,5135
ansible__ansible,instance_ansible__ansible-de01db08d00c8d2438e1ba5989c313ba16a145b0-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,26039,,1.48,5265
ansible__ansible,instance_ansible__ansible-12734fa21c08a0ce8c84e533abdc560db2eb1955-v7eee2454f617569fd6889f2211f75bc02a35f9f8,26063,,0.88,5266
ansible__ansible,instance_ansible__ansible-395e5e20fab9cad517243372fa3c3c5d9e09ab2a-v7eee2454f617569fd6889f2211f75bc02a35f9f8,508232,,0.41,4960
ansible__ansible,instance_ansible__ansible-5c225dc0f5bfa677addeac100a8018df3f3a9db1-v173091e2e36d38c978002990795f66cfc0af30ad,508826,,0.68,4986
ansible__ansible,instance_ansible__ansible-ed6581e4db2f1bec5a772213c3e186081adc162d-v0f01c69f1e2528b935359cfe578530722bca2c59,3787,,0.86,5045
ansible__ansible,instance_ansible__ansible-9142be2f6cabbe6597c9254c5bb9186d17036d55-v0f01c69f1e2528b935359cfe578530722bca2c59,6963,,0.65,5089
ansible__ansible,instance_ansible__ansible-3889ddeb4b780ab4bac9ca2e75f8c1991bcabe83-v0f01c69f1e2528b935359cfe578530722bca2c59,9792,,0.87,5109
ansible__ansible,instance_ansible__ansible-5e369604e1930b1a2e071fecd7ec5276ebd12cb1-v0f01c69f1e2528b935359cfe578530722bca2c59,16639,,0.6,5140
ansible__ansible,instance_ansible__ansible-a6e671db25381ed111bbad0ab3e7d97366395d05-v0f01c69f1e2528b935359cfe578530722bca2c59,24685,,0.47,5206
ansible__ansible,instance_ansible__ansible-d58e69c82d7edd0583dd8e78d76b075c33c3151e-v173091e2e36d38c978002990795f66cfc0af30ad,24776,,1.0,5209
ansible__ansible,instance_ansible__ansible-811093f0225caa4dd33890933150a81c6a6d5226-v1055803c3a812189a1133297f7f5468579283f86,37969,,2.16,5345
ansible__ansible,instance_ansible__ansible-d2f80991180337e2be23d6883064a67dcbaeb662-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,40634,,0.69,5369
ansible__ansible,instance_ansible__ansible-deb54e4c5b32a346f1f0b0a14f1c713d2cc2e961-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,41990,,0.72,5378
ansible__ansible,instance_ansible__ansible-b8025ac160146319d2b875be3366b60c852dd35d-v0f01c69f1e2528b935359cfe578530722bca2c59,53274,,1.07,5468
ansible__ansible,instance_ansible__ansible-a26c325bd8f6e2822d9d7e62f77a424c1db4fbf6-v0f01c69f1e2528b935359cfe578530722bca2c59,53819,,0.83,5474
ansible__ansible,instance_ansible__ansible-a02e22e902a69aeb465f16bf03f7f5a91b2cb828-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,57258,,0.8,5501
ansible__ansible,instance_ansible__ansible-11c1777d56664b1acb56b387a1ad6aeadef1391d-v0f01c69f1e2528b935359cfe578530722bca2c59,44752,,0.97,5410
ansible__ansible,instance_ansible__ansible-5d253a13807e884b7ce0b6b57a963a45e2f0322c-v1055803c3a812189a1133297f7f5468579283f86,50112,,0.76,5422
ansible__ansible,instance_ansible__ansible-379058e10f3dbc0fdcaf80394bd09b18927e7d33-v1055803c3a812189a1133297f7f5468579283f86,68828,,1.17,5554
ansible__ansible,instance_ansible__ansible-42355d181a11b51ebfc56f6f4b3d9c74e01cb13b-v1055803c3a812189a1133297f7f5468579283f86,87472,,0.91,5646
ansible__ansible,instance_ansible__ansible-0fd88717c953b92ed8a50495d55e630eb5d59166-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,87673,,0.6,5653
ansible__ansible,instance_ansible__ansible-748f534312f2073a25a87871f5bd05882891b8c4-v0f01c69f1e2528b935359cfe578530722bca2c59,63913,,1.0,5521
ansible__ansible,instance_ansible__ansible-a7d2a4e03209cff1e97e59fd54bb2b05fdbdbec6-v0f01c69f1e2528b935359cfe578530722bca2c59,86353,,0.67,5624
ansible__ansible,instance_ansible__ansible-a1569ea4ca6af5480cf0b7b3135f5e12add28a44-v0f01c69f1e2528b935359cfe578530722bca2c59,3199,,0.64,5028
ansible__ansible,instance_ansible__ansible-0ea40e09d1b35bcb69ff4d9cecf3d0defa4b36e8-v30a923fb5c164d6cd18280c02422f75e611e8fb2,395349,,0.68,4913
ansible__ansible,instance_ansible__ansible-bec27fb4c0a40c5f8bbcf26a475704227d65ee73-v30a923fb5c164d6cd18280c02422f75e611e8fb2,5928,,0.85,5068
ansible__ansible,instance_ansible__ansible-942424e10b2095a173dbd78e7128f52f7995849b-v30a923fb5c164d6cd18280c02422f75e611e8fb2,9636,,0.97,5088
ansible__ansible,instance_ansible__ansible-e0c91af45fa9af575d10fd3e724ebc59d2b2d6ac-v30a923fb5c164d6cd18280c02422f75e611e8fb2,11269,,0.67,5098
ansible__ansible,instance_ansible__ansible-3b823d908e8a5d17674f8c26d337d3114b7493b1-v0f01c69f1e2528b935359cfe578530722bca2c59,12670,,1.08,5104
ansible__ansible,instance_ansible__ansible-5f4e332e3762999d94af27746db29ff1729252c1-v0f01c69f1e2528b935359cfe578530722bca2c59,15891,,2.36,5129
ansible__ansible,instance_ansible__ansible-cd9c4eb5a6b2bfaf4a6709f001ce3d0c92c1eed2-v0f01c69f1e2528b935359cfe578530722bca2c59,1465,,0.74,5008
ansible__ansible,instance_ansible__ansible-949c503f2ef4b2c5d668af0492a5c0db1ab86140-v0f01c69f1e2528b935359cfe578530722bca2c59,3164,,0.45,5037
ansible__ansible,instance_ansible__ansible-e64c6c1ca50d7d26a8e7747d8eb87642e767cd74-v0f01c69f1e2528b935359cfe578530722bca2c59,5111,,0.91,5061
ansible__ansible,instance_ansible__ansible-b2a289dcbb702003377221e25f62c8a3608f0e89-v173091e2e36d38c978002990795f66cfc0af30ad,5222,,0.6,5063
ansible__ansible,instance_ansible__ansible-d62496fe416623e88b90139dc7917080cb04ce70-v0f01c69f1e2528b935359cfe578530722bca2c59,5938,,0.74,5067
ansible__ansible,instance_ansible__ansible-d9f1866249756efc264b00ff7497e92c11a9885f-v0f01c69f1e2528b935359cfe578530722bca2c59,8432,,2.79,5084
ansible__ansible,instance_ansible__ansible-b5e0293645570f3f404ad1dbbe5f006956ada0df-v0f01c69f1e2528b935359cfe578530722bca2c59,15805,,0.35,5125
ansible__ansible,instance_ansible__ansible-1a4644ff15355fd696ac5b9d074a566a80fe7ca3-v30a923fb5c164d6cd18280c02422f75e611e8fb2,18401,,2.06,5143
ansible__ansible,instance_ansible__ansible-40ade1f84b8bb10a63576b0ac320c13f57c87d34-v6382ea168a93d80a64aab1fbd8c4f02dc5ada5bf,19907,,1.15,5157
ansible__ansible,instance_ansible__ansible-d6d2251929c84c3aa883bad7db0f19cc9ff0339e-v30a923fb5c164d6cd18280c02422f75e611e8fb2,3170,,0.35,5029
ansible__ansible,instance_ansible__ansible-106909db8b730480615f4a33de0eb5b710944e78-v0f01c69f1e2528b935359cfe578530722bca2c59,13794,,0.7,5113
ansible__ansible,instance_ansible__ansible-f86c58e2d235d8b96029d102c71ee2dfafd57997-v0f01c69f1e2528b935359cfe578530722bca2c59,16075,,0.99,5133
ansible__ansible,instance_ansible__ansible-e9e6001263f51103e96e58ad382660df0f3d0e39-v30a923fb5c164d6cd18280c02422f75e611e8fb2,21374,,0.48,5177
ansible__ansible,instance_ansible__ansible-8127abbc298cabf04aaa89a478fc5e5e3432a6fc-v30a923fb5c164d6cd18280c02422f75e611e8fb2,24521,,0.95,5194
ansible__ansible,instance_ansible__ansible-6cc97447aac5816745278f3735af128afb255c81-v0f01c69f1e2528b935359cfe578530722bca2c59,56269,,2.09,5481
ansible__ansible,instance_ansible__ansible-d33bedc48fdd933b5abd65a77c081876298e2f07-v0f01c69f1e2528b935359cfe578530722bca2c59,57230,,1.07,5504
ansible__ansible,instance_ansible__ansible-1c06c46cc14324df35ac4f39a45fb3ccd602195d-v0f01c69f1e2528b935359cfe578530722bca2c59,66382,,1.44,5615
element-hq__element-web,instance_element-hq__element-web-33e8edb3d508d6eefb354819ca693b7accc695e7,328510,,0.56,1498
element-hq__element-web,instance_element-hq__element-web-b007ea81b2ccd001b00f332bee65070aa7fc00f9-vnan,339950,,0.56,1543
element-hq__element-web,instance_element-hq__element-web-ec0f940ef0e8e3b61078f145f34dc40d1938e6c5-vnan,353321,,0.59,1585
element-hq__element-web,instance_element-hq__element-web-4c6b0d35add7ae8d58f71ea1711587e31081444b-vnan,355894,,0.56,1608
element-hq__element-web,instance_element-hq__element-web-1216285ed2e82e62f8780b6702aa0f9abdda0b34-vnan,390189,,0.91,1771
element-hq__element-web,instance_element-hq__element-web-582a1b093fc0b77538052f45cbb9c7295f991b51-vnan,402985,,1.12,1814
element-hq__element-web,instance_element-hq__element-web-f14374a51c153f64f313243f2df6ea4971db4e15,447770,,0.58,2114
element-hq__element-web,instance_element-hq__element-web-9bf77963ee5e036d54b2a3ca202fbf6378464a5e-vnan,459016,,0.61,2266
element-hq__element-web,instance_element-hq__element-web-4fec436883b601a3cac2d4a58067e597f737b817-vnan,466544,,0.52,2295
element-hq__element-web,instance_element-hq__element-web-fe14847bb9bb07cab1b9c6c54335ff22ca5e516a-vnan,472796,,0.64,2325
element-hq__element-web,instance_element-hq__element-web-e15ef9f3de36df7f318c083e485f44e1de8aad17,473327,,0.49,2332
element-hq__element-web,instance_element-hq__element-web-772df3021201d9c73835a626df8dcb6334ad9a3e-vnan,474080,,0.37,2342
element-hq__element-web,instance_element-hq__element-web-776ffa47641c7ec6d142ab4a47691c30ebf83c2e,481866,,0.21,2382
element-hq__element-web,instance_element-hq__element-web-ca8b1b04effb4fec0e1dd3de8e3198eeb364d50e-vnan,487162,,0.37,2428
element-hq__element-web,instance_element-hq__element-web-66d0b318bc6fee0d17b54c1781d6ab5d5d323135-vnan,498448,,0.5,2511
element-hq__element-web,instance_element-hq__element-web-ee13e23b156fbad9369d6a656c827b6444343d4f-vnan,501019,,0.6,2536
element-hq__element-web,instance_element-hq__element-web-18c03daa865d3c5b10e52b669cd50be34c67b2e5-vnan,501312,,0.63,2540
element-hq__element-web,instance_element-hq__element-web-cf3c899dd1f221aa1a1f4c5a80dffc05b9c21c85-vnan,501403,,0.68,2542
element-hq__element-web,instance_element-hq__element-web-7c63d52500e145d6fff6de41dd717f61ab88d02f-vnan,503387,,0.32,2568
element-hq__element-web,instance_element-hq__element-web-459df4583e01e4744a52d45446e34183385442d6-vnan,503496,,0.75,2574
element-hq__element-web,instance_element-hq__element-web-ca58617cee8aa91c93553449bfdf9b3465a5119b-vnan,503649,,1.0,2578
element-hq__element-web,instance_element-hq__element-web-75c2c1a572fa45d1ea1d1a96e9e36e303332ecaa-vnan,503028,,0.65,2578
element-hq__element-web,instance_element-hq__element-web-27139ca68eb075a4438c18fca184887002a4ffbc-vnan,503258,,0.3,2580
element-hq__element-web,instance_element-hq__element-web-dae13ac8522fc6d41e64d1ac6e3174486fdcce0c-vnan,509093,,0.86,2594
element-hq__element-web,instance_element-hq__element-web-ce554276db97b9969073369fefa4950ca8e54f84-vnan,509670,,0.51,2598
element-hq__element-web,instance_element-hq__element-web-6205c70462e0ce2e1e77afb3a70b55d0fdfe1b31-vnan,512409,,0.6,2614
element-hq__element-web,instance_element-hq__element-web-ecfd1736e5dd9808e87911fc264e6c816653e1a9-vnan,517629,,0.61,2651
element-hq__element-web,instance_element-hq__element-web-5dfde12c1c1c0b6e48f17e3405468593e39d9492-vnan,517970,,0.96,2652
element-hq__element-web,instance_element-hq__element-web-6961c256035bed0b7640a6e5907652c806968478-vnan,523330,,0.51,2674
element-hq__element-web,instance_element-hq__element-web-53a9b6447bd7e6110ee4a63e2ec0322c250f08d1-vnan,525970,,0.55,2691
element-hq__element-web,instance_element-hq__element-web-923ad4323b2006b2b180544429455ffe7d4a6cc3-vnan,527418,,0.66,2696
element-hq__element-web,instance_element-hq__element-web-f0359a5c180b8fec4329c77adcf967c8d3b7b787-vnan,530605,,0.57,2724
element-hq__element-web,instance_element-hq__element-web-880428ab94c6ea98d3d18dcaeb17e8767adcb461-vnan,530665,,0.52,2741
element-hq__element-web,instance_element-hq__element-web-ad26925bb6628260cfe0fcf90ec0a8cba381f4a4-vnan,530908,,0.51,2765
element-hq__element-web,instance_element-hq__element-web-aec454dd6feeb93000380523cbb0b3681c0275fd-vnan,538319,,0.87,2800
element-hq__element-web,instance_element-hq__element-web-404c412bcb694f04ba0c4d5479541203d701bca0-vnan,540142,,0.68,2805
element-hq__element-web,instance_element-hq__element-web-5e8488c2838ff4268f39db4a8cca7d74eecf5a7e-vnan,553705,,0.71,2857
element-hq__element-web,instance_element-hq__element-web-f3534b42df3dcfe36dc48bddbf14034085af6d30-vnan,555248,,0.66,2862
element-hq__element-web,instance_element-hq__element-web-53b42e321777a598aaf2bb3eab22d710569f83a8-vnan,561463,,0.53,2888
element-hq__element-web,instance_element-hq__element-web-41dfec20bfe9b62cddbbbf621bef2e9aa9685157-vnan,561677,,0.46,2889
element-hq__element-web,instance_element-hq__element-web-a692fe21811f88d92e8f7047fc615e4f1f986b0f-vnan,565533,,0.66,2907
element-hq__element-web,instance_element-hq__element-web-71fe08ea0f159ccb707904d87f0a4aef205a167c-vnan,571290,,0.54,2932
element-hq__element-web,instance_element-hq__element-web-2760bfc8369f1bee640d6d7a7e910783143d4c5f-vnan,573384,,0.65,2943
element-hq__element-web,instance_element-hq__element-web-9a31cd0fa849da810b4fac6c6c015145e850b282-vnan,574575,,0.55,2944
element-hq__element-web,instance_element-hq__element-web-d405160080bbe804f7e9294067d004a7d4dad9d6-vnan,575786,,0.98,2950
element-hq__element-web,instance_element-hq__element-web-33299af5c9b7a7ec5a9c31d578d4ec5b18088fb7-vnan,576477,,0.22,2957
element-hq__element-web,instance_element-hq__element-web-f63160f38459fb552d00fcc60d4064977a9095a6-vnan,601706,,0.66,3085
element-hq__element-web,instance_element-hq__element-web-494d9de6f0a94ffb491e74744d2735bce02dc0ab-vnan,681290,,0.73,3153
element-hq__element-web,instance_element-hq__element-web-8f3c8b35153d2227af45f32e46bd1e15bd60b71f-vnan,691515,,0.65,3201
element-hq__element-web,instance_element-hq__element-web-72a8f8f03b1a01bb70ef8a5bb61759416991b32c-vnan,694031,,0.7,3207
element-hq__element-web,instance_element-hq__element-web-44b98896a79ede48f5ad7ff22619a39d5f6ff03c-vnan,697185,,0.72,3260
element-hq__element-web,instance_element-hq__element-web-aeabf3b18896ac1eb7ae9757e66ce886120f8309-vnan,705801,,0.93,3398
element-hq__element-web,instance_element-hq__element-web-d06cf09bf0b3d4a0fbe6bd32e4115caea2083168-vnan,705822,,0.82,3396
element-hq__element-web,instance_element-hq__element-web-b7fea97bb68c6628a644580076f840109132f074-vnan,694480,,0.76,3296
element-hq__element-web,instance_element-hq__element-web-56c7fc1948923b4b3f3507799e725ac16bcf8018-vnan,698286,,0.88,3327
element-hq__element-web,instance_element-hq__element-web-1077729a19c0ce902e713cf6fab42c91fb7907f1-vnan,713485,,0.48,3426
flipt-io__flipt,instance_flipt-io__flipt-406f9396ad65696d58865b3a6283109cd4eaf40e,43961,,0.28,223
flipt-io__flipt,instance_flipt-io__flipt-f1bc91a1b999656dbdb2495ccb57bf2105b84920,44486,,0.2,226
flipt-io__flipt,instance_flipt-io__flipt-c154dd1a3590954dfd3b901555fc6267f646a289,51094,,0.18,244
flipt-io__flipt,instance_flipt-io__flipt-5ffba3406a7993d97ced4cc13658bee66150fcca,51204,,0.17,245
flipt-io__flipt,instance_flipt-io__flipt-f808b4dd6e36b9dc8b011eb26b196f4e2cc64c41,52258,,0.58,249
flipt-io__flipt,instance_flipt-io__flipt-e42da21a07a5ae35835ec54f74004ebd58713874,101442,,0.33,480
flipt-io__flipt,instance_flipt-io__flipt-cf06f4ebfab7fa21eed3e5838592e8e44566957f,103425,,0.32,489
flipt-io__flipt,instance_flipt-io__flipt-e91615cf07966da41756017a7d571f9fc0fdbe80,104531,,0.31,507
flipt-io__flipt,instance_flipt-io__flipt-65581fef4aa807540cb933753d085feb0d7e736f,75768,,0.2,318
flipt-io__flipt,instance_flipt-io__flipt-5c7037ececb0bead0a8eb56054e224bcd7ac5922,110080,,0.17,336
flipt-io__flipt,instance_flipt-io__flipt-21a935ad7886cc50c46852be21b37f363a926af0,110475,,0.36,336
flipt-io__flipt,instance_flipt-io__flipt-9f8127f225a86245fa35dca4885c2daef824ee55,111798,,0.32,352
flipt-io__flipt,instance_flipt-io__flipt-967855b429f749c28c112b8cb1b15bc79157f973,94928,,0.3,360
flipt-io__flipt,instance_flipt-io__flipt-b2cd6a6dd73ca91b519015fd5924fde8d17f3f06,102003,,0.25,407
flipt-io__flipt,instance_flipt-io__flipt-518ec324b66a07fdd95464a5e9ca5fe7681ad8f9,102104,,0.32,407
flipt-io__flipt,instance_flipt-io__flipt-6fe76d024ee0c50ddb09c86f4ae0bd4c208fd65f,103566,,0.25,430
flipt-io__flipt,instance_flipt-io__flipt-756f00f79ba8abf9fe53f3c6c818123b42eb7355,104991,,0.38,434
flipt-io__flipt,instance_flipt-io__flipt-292fdaca9be39e6a921aaa8874c011d0fdd3e874,105033,,0.13,435
flipt-io__flipt,instance_flipt-io__flipt-ee02b164f6728d3227c42671028c67a4afd36918,105286,,0.16,444
flipt-io__flipt,instance_flipt-io__flipt-a42d38a1bb1df267c53d9d4a706cf34825ae3da9,105458,,0.36,446
flipt-io__flipt,instance_flipt-io__flipt-5af0757e96dec4962a076376d1bedc79de0d4249,59419,,0.34,371
flipt-io__flipt,instance_flipt-io__flipt-af7a0be46d15f0b63f16a868d13f3b48a838e7ce,60695,,0.34,393
flipt-io__flipt,instance_flipt-io__flipt-b433bd05ce405837804693bebd5f4b88d87133c8,62201,,0.34,401
flipt-io__flipt,instance_flipt-io__flipt-b6cef5cdc0daff3ee99e5974ed60a1dc6b4b0d67,62420,,0.33,405
flipt-io__flipt,instance_flipt-io__flipt-0fd09def402258834b9d6c0eaa6d3b4ab93b4446,62516,,0.22,405
flipt-io__flipt,instance_flipt-io__flipt-ebb3f84c74d61eee4d8c6875140b990eee62e146,63805,,0.29,412
flipt-io__flipt,instance_flipt-io__flipt-e50808c03e4b9d25a6a78af9c61a3b1616ea356b,127515,,0.25,599
flipt-io__flipt,instance_flipt-io__flipt-c6a7b1fd933e763b1675281b30077e161fa115a1,150923,,0.23,629
flipt-io__flipt,instance_flipt-io__flipt-c1728053367c753688f114ec26e703c8fdeda125,151076,,0.21,631
flipt-io__flipt,instance_flipt-io__flipt-cd18e54a0371fa222304742c6312e9ac37ea86c1,171726,,0.25,640
flipt-io__flipt,instance_flipt-io__flipt-c12967bc73fdf02054cf3ef8498c05e25f0a18c0,169735,,0.21,641
flipt-io__flipt,instance_flipt-io__flipt-f36bd61fb1cee4669de1f00e59da462bfeae8765,169778,,0.32,641
flipt-io__flipt,instance_flipt-io__flipt-abaa5953795afb9c621605bb18cb32ac48b4508c,200982,,0.29,743
flipt-io__flipt,instance_flipt-io__flipt-492cc0b158200089dceede3b1aba0ed28df3fb1d,200995,,0.23,745
flipt-io__flipt,instance_flipt-io__flipt-524f277313606f8cd29b299617d6565c01642e15,203631,,0.24,752
flipt-io__flipt,instance_flipt-io__flipt-e2bd19dafa7166c96b082fb2a59eb54b4be0d778,204478,,0.31,762
flipt-io__flipt,instance_flipt-io__flipt-f743945d599b178293e89e784b3b2374b1026430,207966,,0.26,777
flipt-io__flipt,instance_flipt-io__flipt-56a620b8fc9ef7a0819b47709aa541cdfdbba00b,209104,,0.25,783
